keyword,name,location,rating
ATM,Bank of America ATM,"{'lat': 37.7713599, 'lng': -122.4244864}",1.4
ATM,Bank of America ATM,"{'lat': 37.781512, 'lng': -122.4208309}",2.8
ATM,ATM,"{'lat': 37.7808107, 'lng': -122.4212454}",3
ATM,ATM,"{'lat': 37.7804864, 'lng': -122.408378}",0
ATM,BMO - ATM,"{'lat': 37.7772414, 'lng': -122.4162653}",1
ATM,ATM,"{'lat': 37.7733858, 'lng': -122.4085037}",1
ATM,ATM,"{'lat': 37.7805653, 'lng': -122.4189533}",0
ATM,BMO - ATM,"{'lat': 37.7666929, 'lng': -122.429677}",1
ATM,Wells Fargo ATM,"{'lat': 37.7688369, 'lng': -122.4279232}",3
ATM,Wells Fargo ATM,"{'lat': 37.7775531, 'lng': -122.423293}",2.4
ATM,PUC SF- Golden 1 Credit Union ATM,"{'lat': 37.7804288, 'lng': -122.4207678}",0
ATM,"Access ATM, Inc.","{'lat': 37.7721662, 'lng': -122.4223311}",3
ATM,ATM,"{'lat': 37.7719014, 'lng': -122.4312953}",0
ATM,ATM,"{'lat': 37.7642883, 'lng': -122.4071776}",3.5
ATM,ATM,"{'lat': 37.7647621, 'lng': -122.4225851}",1
ATM,Bank of America ATM,"{'lat': 37.7853118, 'lng': -122.4327566}",2.7
ATM,ATM,"{'lat': 37.7721194, 'lng': -122.4108459}",0
ATM,Bank of America ATM,"{'lat': 37.784605, 'lng': -122.4082193}",4
ATM,ATM,"{'lat': 37.7819282, 'lng': -122.4101367}",0
ATM,BMO - ATM,"{'lat': 37.7851381, 'lng': -122.406266}",0
Beauty-Salon,Retreat Skin & Hair Studio,"{'lat': 37.7710245, 'lng': -122.430104}",5
Beauty-Salon,Mayfair Beauty Salon,"{'lat': 37.7839485, 'lng': -122.416121}",5
Beauty-Salon,Intava Salon,"{'lat': 37.7772032, 'lng': -122.4235544}",4.9
Beauty-Salon,Golden beauty salon,"{'lat': 37.7837077, 'lng': -122.4157833}",4.7
Beauty-Salon,Edo Salon,"{'lat': 37.7717647, 'lng': -122.432254}",4.7
Beauty-Salon,Yahaira's Hair Designer,"{'lat': 37.7749622, 'lng': -122.4210437}",4.9
Beauty-Salon,Veer & Wander,"{'lat': 37.7732361, 'lng': -122.4210151}",4.8
Beauty-Salon,salon baobao,"{'lat': 37.7682915, 'lng': -122.4276663}",4.8
Beauty-Salon,Hair of the Gods,"{'lat': 37.7760921, 'lng': -122.4232951}",4.9
Beauty-Salon,ORO Salon,"{'lat': 37.769165, 'lng': -122.429861}",4.8
Beauty-Salon,Zip Zap Hair Salon,"{'lat': 37.77184980000001, 'lng': -122.4305404}",4.6
Beauty-Salon,Steel + Lacquer,"{'lat': 37.775823, 'lng': -122.4170231}",4.6
Beauty-Salon,Q Beauty,"{'lat': 37.7860573, 'lng': -122.4177079}",5
Beauty-Salon,Samitra Salon,"{'lat': 37.7756786, 'lng': -122.4161325}",5
Beauty-Salon,Barnets salon,"{'lat': 37.7646219, 'lng': -122.4249614}",4.9
Beauty-Salon,Opera Plaza Hair Design,"{'lat': 37.7809625, 'lng': -122.4219875}",4.6
Beauty-Salon,Revamp Salon,"{'lat': 37.7646721, 'lng': -122.4234359}",4.9
Beauty-Salon,Wendy's Salon,"{'lat': 37.7825118, 'lng': -122.4150976}",5
Beauty-Salon,Glama-Rama! Salon,"{'lat': 37.7679457, 'lng': -122.4223448}",4.7
Beauty-Salon,bubble pop electric salon,"{'lat': 37.785985, 'lng': -122.4284311}",4.7
Clinic,Dore Urgent Care Clinic (Psychiatric),"{'lat': 37.77370579999999, 'lng': -122.4129249}",3.5
Clinic,EZCare Clinic,"{'lat': 37.7710684, 'lng': -122.4248417}",4.3
Clinic,Grace Medical Clinic,"{'lat': 37.7848727, 'lng': -122.4306913}",5
Clinic,Sollis Health - San Francisco,"{'lat': 37.7851005, 'lng': -122.4219532}",0
Clinic,One Medical: Hayes Valley,"{'lat': 37.773958, 'lng': -122.4221524}",3.9
Clinic,St. Anthony's Medical Clinic,"{'lat': 37.7821992, 'lng': -122.4132138}",3.3
Clinic,Tom Waddell Urban Health Center,"{'lat': 37.7819284, 'lng': -122.4143537}",3.4
Clinic,San Francisco Community Health Center,"{'lat': 37.7838223, 'lng': -122.419095}",4.4
Clinic,Acu-Care Medical Clinic,"{'lat': 37.7844419, 'lng': -122.4142799}",0
Clinic,Tia San Francisco,"{'lat': 37.7743205, 'lng': -122.4176422}",4
Clinic,Women's Community Clinic,"{'lat': 37.769526, 'lng': -122.419725}",4
Clinic,San Francisco City Clinic,"{'lat': 37.7758906, 'lng': -122.4071627}",4.6
Clinic,Carbon Health Urgent & Primary Care San Francisco - Civic Center,"{'lat': 37.77717639999999, 'lng': -122.4174749}",3.7
Clinic,Carbon Health Urgent Care San Francisco - Castro,"{'lat': 37.7699007, 'lng': -122.4263947}",4.1
Clinic,Central City Older Adults Clinic,"{'lat': 37.7762153, 'lng': -122.4192597}",0
Clinic,Equity Health (FKA: South of Market Health Center),"{'lat': 37.777544, 'lng': -122.4086164}",4.6
Clinic,DR. BROWN ALLERGY MEDICAL CLINIC,"{'lat': 37.7680737, 'lng': -122.4080569}",3
Clinic,San Francisco (Van Ness) Outreach Clinic,"{'lat': 37.7859895, 'lng': -122.4209769}",0
Clinic,San Francisco Community Clinic Consortium,"{'lat': 37.7640103, 'lng': -122.4188532}",4.3
CVS,CVS,"{'lat': 37.7821074, 'lng': -122.4210559}",3.7
CVS,CVS,"{'lat': 37.77206, 'lng': -122.4300844}",2.7
CVS,CVS Pharmacy,"{'lat': 37.782061, 'lng': -122.4210563}",4.6
CVS,CVS Pharmacy,"{'lat': 37.7720559, 'lng': -122.4301156}",3.1
CVS,CVS Photo,"{'lat': 37.782061, 'lng': -122.4210563}",2.5
CVS,CVS Photo,"{'lat': 37.7720632, 'lng': -122.4300586}",3.5
Fire-Department,San Francisco Fire Department Station 5,"{'lat': 37.7805699, 'lng': -122.4307212}",3.2
Fire-Department,San Francisco Fire Station 36,"{'lat': 37.7751234, 'lng': -122.4211758}",4.7
Fire-Department,San Francisco Fire Station 6,"{'lat': 37.7670457, 'lng': -122.4310152}",3.8
Fire-Department,Commercial Fire Dispatch Headquarters,"{'lat': 37.7748449, 'lng': -122.4231513}",5
Fire-Department,San Francisco Firefighters Cancer Prevention Foundation,"{'lat': 37.778381, 'lng': -122.4117507}",0
Gas-Station,ARCO,"{'lat': 37.768473, 'lng': -122.4203864}",3.8
Gas-Station,Shell,"{'lat': 37.773413, 'lng': -122.408461}",2.8
Gas-Station,76,"{'lat': 37.7642226, 'lng': -122.407051}",3.8
Gas-Station,Gas & Shop Gasoline,"{'lat': 37.763792, 'lng': -122.4170812}",3.9
Gas-Station,Shell,"{'lat': 37.7819157, 'lng': -122.4227248}",2.9
Gas-Station,Shell,"{'lat': 37.7647648, 'lng': -122.407737}",3.3
Gas-Station,Shell,"{'lat': 37.7644942, 'lng': -122.4243303}",2.3
Gas-Station,Chevron,"{'lat': 37.7720624, 'lng': -122.4185775}",2.4
Gas-Station,Git 'n Split,"{'lat': 37.7638624, 'lng': -122.4169728}",3.7
Gas-Station,Self Serve Petroleum,"{'lat': 37.7649712, 'lng': -122.4172831}",3.4
Gas-Station,Mission Self Services,"{'lat': 37.7640215, 'lng': -122.4172109}",2.4
Gas-Station,ATM (Tower Car Wash),"{'lat': 37.77206169999999, 'lng': -122.4189016}",3.5
Gas-Station,Chevron,"{'lat': 37.7647966, 'lng': -122.4170427}",3.9
Government,US General Services Administration,"{'lat': 37.7819451, 'lng': -122.4181348}",3
Government,California Personnel,"{'lat': 37.7811142, 'lng': -122.4180618}",2
Government,San Francisco Mayor's Office,"{'lat': 37.7792728, 'lng': -122.4193639}",2.4
Government,San Francisco Federal Building,"{'lat': 37.7795169, 'lng': -122.4118031}",3.6
Government,GSA General Services Administration,"{'lat': 37.7789492, 'lng': -122.4122106}",0
Government,Commission On Judicial Performance,"{'lat': 37.7811142, 'lng': -122.4180618}",1.3
Government,Department of Homeland Security,"{'lat': 37.7821105, 'lng': -122.4183587}",2.3
Government,U.S. General Services Administration - Pacific Rim Region,"{'lat': 37.7802611, 'lng': -122.4145017}",3
Government,San Francisco County Surveyor,"{'lat': 37.7742557, 'lng': -122.4187757}",0
Government,County Adult Assistance Program General Assistance Office,"{'lat': 37.7768568, 'lng': -122.4136958}",3.7
Government,City Administrators Office,"{'lat': 37.7791298, 'lng': -122.4190052}",4.5
Government,San Francisco Board Of Supervisors,"{'lat': 37.7792629, 'lng': -122.4192703}",1.4
Government,Social Security Administration,"{'lat': 37.7789936, 'lng': -122.4121455}",2.9
Government,San Francisco City & County of,"{'lat': 37.7717589, 'lng': -122.4196182}",0
Government,San Francisco City;Purchasing Department-Reproduction,"{'lat': 37.776292, 'lng': -122.416245}",0
Government,S F Public Conservator Office,"{'lat': 37.7717589, 'lng': -122.4196182}",3
Government,San Francisco Recorder,"{'lat': 37.7792543, 'lng': -122.4134141}",1
Government,California State Legislature,"{'lat': 37.7811142, 'lng': -122.4180618}",2.3
Government,Criminal Justice Council,"{'lat': 37.7790267, 'lng': -122.419171}",5
Government,Assembly Member Phil Ting,"{'lat': 37.7810141, 'lng': -122.4180471}",1.9
Hospital,CPMC Van Ness Campus,"{'lat': 37.785997, 'lng': -122.422302}",3.6
Hospital,UCSF San Francisco CA,"{'lat': 37.7749295, 'lng': -122.4194155}",0
Hospital,Cpmc,"{'lat': 37.7647702, 'lng': -122.4328693}",0
Hospital,白卡,"{'lat': 37.7713194, 'lng': -122.4121828}",2.5
Hotel,San Francisco Proper,"{'lat': 37.7808751, 'lng': -122.4126641}",4.3
Hotel,HOTEL EPIK,"{'lat': 37.7833393, 'lng': -122.4191193}",3.7
Hotel,1906 Mission,"{'lat': 37.7664882, 'lng': -122.4200128}",4.1
Hotel,Phoenix Hotel,"{'lat': 37.7829373, 'lng': -122.4178187}",4.4
Hotel,Hampton Inn San Francisco Downtown/Convention Center,"{'lat': 37.7821501, 'lng': -122.4078359}",3.8
Hotel,The Grove Inn,"{'lat': 37.7769398, 'lng': -122.43123}",4.5
Hotel,Parc 55 San Francisco - a Hilton Hotel,"{'lat': 37.7848243, 'lng': -122.4090609}",4.1
Hotel,Inn on Grove,"{'lat': 37.7773593, 'lng': -122.4241445}",4.6
Hotel,Signature San Francisco,"{'lat': 37.7774014, 'lng': -122.4082654}",4.1
